ID,Source,Type,CreatedAt,Language,Content,Original Content,metadata.Version,metadata.Language_Name,metadata.Score,metadata.Language_Code,metadata.Rating,metadata.Upvotes,metadata.CountryISO2
31bdc685-b72d-5f50-a4e1-cfdaba00a9fa,Appstore,RecordTypeReview,2025-02-04T19:00:01Z,por,"Since I have an account on Spotify, I expect the album GAL COSTA MTV ACÚSTICO 1997 in the catalog.",Desde que tenho conta no Spotify espero no acervo o disco de GAL COSTA MTV ACÚSTICO 1997,9.0.16,,,,5,0,br
d38e074d-ccb2-5633-94fe-b23e96b32851,Appstore,RecordTypeReview,2025-02-04T18:56:47Z,eng,cant even listen to the song i want to,cant even listen to the song i want to,9.0.16,,,,2,0,us
76e3823e-06c3-5349-929f-440a44b38e97,Appstore,RecordTypeReview,2025-02-04T18:54:03Z,fra,So good!!!,Trop bien !!!,9.0.16,,,,5,0,fr
49ff4bbe-17d9-541c-9455-6d6e40d63a88,Appstore,RecordTypeReview,2025-02-04T18:53:49Z,eng,I love the song it’s awesome,I love the song it’s awesome,9.0.16,,,,5,0,us
871f4c7d-b17b-5968-9997-9002b94b7116,Appstore,RecordTypeReview,2025-02-04T18:50:42Z,eng,Osm,Osm,9.0.16,,,,5,0,in
632ff806-e27e-5552-acc5-06360c062aa9,Appstore,RecordTypeReview,2025-02-04T18:49:11Z,eng,Ilysm omg W APP CREATOR,Ilysm omg W APP CREATOR,9.0.16,,,,5,0,us
0e3db430-59f3-5c77-a8d7-61a5baaa2667,Appstore,RecordTypeReview,2025-02-04T18:46:44Z,spa,"I love it, it's very nice, and I like that it can make playlists.",Me encanta es muy bonito y me gusta que puede hacer playlist,9.0.16,,,,5,0,gt
4f9fcadc-ca3a-5c53-8463-b9960028aede,Appstore,RecordTypeReview,2025-02-04T18:45:54Z,eng,Love Spotify only thing is when I connect to my ear buds it’s a little weird sounding,Love Spotify only thing is when I connect to my ear buds it’s a little weird sounding,9.0.16,,,,5,0,us
432d41e8-0c45-5c5b-a7f2-e18d075366a4,Appstore,RecordTypeReview,2025-02-04T18:45:01Z,eng,More than 2 adds again again,More than 2 adds again again,9.0.16,,,,1,0,in
6c619ebb-6429-5784-858a-bff649637151,Appstore,RecordTypeReview,2025-02-04T18:43:14Z,eng,Stop with the ads,Stop with the ads,9.0.16,,,,5,0,us
bd7d1500-55de-5ee2-8cf6-b2d694b83cb6,Appstore,RecordTypeReview,2025-02-04T18:42:37Z,eng,"I like Spotify a lot but there’s wayyy too many ads, I mean I’ll play one song and I get like 6 ads after.","I like Spotify a lot but there’s wayyy too many ads, I mean I’ll play one song and I get like 6 ads after.",9.0.16,,,,3,0,us
ea209e75-1653-5475-99b3-bdc3f68314f7,Appstore,RecordTypeReview,2025-02-04T18:39:38Z,eng,I got this app when it first came out and it was free and I didn’t hesitate when they stated charging because it’s the best!,I got this app when it first came out and it was free and I didn’t hesitate when they stated charging because it’s the best!,9.0.16,,,,5,0,us
d84693f3-8656-5896-988f-5102d6e9779f,Appstore,RecordTypeReview,2025-02-04T18:35:52Z,eng,I have so much fun on Spotify it’s the best because every time I go on it it brings me joy,I have so much fun on Spotify it’s the best because every time I go on it it brings me joy,9.0.16,,,,5,0,gb
21c295bf-7c19-5cf2-86fb-53f85f0092ea,Appstore,RecordTypeReview,2025-02-04T18:32:27Z,eng,Hey Daniel Ek I Hate You!,Hey Daniel Ek I Hate You!,9.0.16,,,,1,0,ca
72cfa95a-7b57-5814-a9dd-640fca4b2017,Appstore,RecordTypeReview,2025-02-04T18:31:07Z,tur,I love it very much 🎶💜,Çok seviyorum 🎶💜,9.0.16,,,,5,0,tr
7119d330-aaec-5c51-a568-c4924f44897c,Appstore,RecordTypeReview,2025-02-04T18:30:08Z,fra,We can't listen to our music on repeat in free mode.,On peut pas écouter nos musiques en boucle en mode gratuit,9.0.16,,,,5,0,fr
e869a2d6-a42c-54ae-89d1-e1bcf451f068,Appstore,RecordTypeReview,2025-02-04T18:28:12Z,tur,"First of all, the app is very expensive. Secondly, when you want to play a song, you can't skip or fast forward it because you don't have the premium feature, or it gives you another song. For example, I want to listen to a specific song, but I can't. I have to get the premium; the ads are okay, but I don't agree with the other part. I think it's unreasonable; it's terrible. Where I should be paying 50 TL normally, they're charging 80 TL, which is why I canceled my subscription; I lost trust.","Birincisi uygulama çok pahalı ikincisi hani bir şarkı açmak istiyorsun premium özelliğin yok diye ne şarkıyı geçebiliyorsun ne de ileri sara biliyorsun veya başka bir şarkı veriyor mesela ben istediğim bir şarkı dinlemek istiyorum ama dinleyemiyorum hani illa premium almak hani reklam okey de diğer türlü ona okey değil bence uygun hani berbat
Hani Ben normale 50 TL vermem gereken yerde 80 TL ücret alıyorlar ondan dolayı iptal ettim güvenmeyi",9.0.16,,,,1,0,tr
f3ce48db-db20-52f8-a812-0da13e13bd1b,Appstore,RecordTypeReview,2025-02-04T18:26:08Z,eng,Theres a lot of l3wd and scary ads here and there. Also I don’t like when they put the “songs you might like” and it’s a COMPLETELY different song. I can barely listen to music without it showing a l3wd ad or a song that I didn’t add to my playlist,Theres a lot of l3wd and scary ads here and there. Also I don’t like when they put the “songs you might like” and it’s a COMPLETELY different song. I can barely listen to music without it showing a l3wd ad or a song that I didn’t add to my playlist,9.0.16,,,,1,0,ca
d47f6d17-c9c4-5b6d-921f-ae38ba78acc4,Appstore,RecordTypeReview,2025-02-04T18:25:09Z,ind,"bgss if the ads are reduced because every 1 song definitely has an ad break first, while before there weren't that many ads 😭😭","bgss si cumann bs ga iklannya dikurangin krna stiap 1 lagu psti ada jeda iklannya dulu, pdhal dulu ga begitu banyak iklan 😭😭",9.0.16,,,,4,0,id
caf0b754-a97d-5046-bb72-e2be993470fd,Appstore,RecordTypeReview,2025-02-04T18:15:22Z,eng,"too many interruptions 
too
many ads","too many interruptions 
too
many ads",9.0.16,,,,2,0,us
1fb9fbc2-e744-568c-92c5-ac7bc6c37c2d,Appstore,RecordTypeReview,2025-02-04T18:13:51Z,spa,Too many ads to listen to music from 40 years ago,Demasiados anuncios para escuchar música de hace 40 años,9.0.16,,,,1,0,es
073de1f3-58c3-54de-ba59-776569e23f92,Appstore,RecordTypeReview,2025-02-04T18:13:19Z,spa,The ads ruin my life and I don't plan to pay.,los anuncios me amargan la vida y no pienso pagar,9.0.16,,,,2,0,es
6ff1a97a-28b5-53dc-b671-e8629d8415ab,Appstore,RecordTypeReview,2025-02-04T18:04:52Z,eng,So like I’m listening a playlist of mine so like I just finished one song and after that song three 30 seconds ads come like continuously like omg,So like I’m listening a playlist of mine so like I just finished one song and after that song three 30 seconds ads come like continuously like omg,9.0.16,,,,3,0,ae
e39d1412-f4b9-50b6-bd50-34d4aa065ffb,Appstore,RecordTypeReview,2025-02-04T18:04:45Z,ita,"1 Star because too much too much too much advertising, too many restrictions to force you to pay, paying too much among other things. After half an hour I close the app and open the app of any radio or YouTube, and I manage the songs myself, skip ads, etc.","1 Stella perché troppa troppa troppa pubblicità, troppe restrizioni per costringerti a pagare, pagare troppo tra l’altro. Dopo mezz’ora chiudo l’app e apro l’app di una radio qualsiasi oppure YouTube, e gestisco io le canzoni, salta pubblicità, ecc.",9.0.16,,,,1,0,it
806c41fe-8be8-52e7-9b88-9a2a942ea5c9,Appstore,RecordTypeReview,2025-02-04T18:00:51Z,eng,Everything📍,Everything📍,9.0.16,,,,5,0,tz
98398ec3-0404-5434-a3b7-7f8f2392275f,Appstore,RecordTypeReview,2025-02-04T17:49:57Z,deu,"This is a good app where you can find audiobooks, music, and podcasts, but there are ads in the podcasts and that is annoying.",Das ist eine gute App wo man von Hörspiel zu Musik und potcast finden kann aber bei den potcsat gibt es Werbung und das nervt,9.0.16,,,,5,0,de
76aba75e-ec25-5acb-bde7-2f9d1d2de14f,Appstore,RecordTypeReview,2025-02-04T17:47:32Z,eng,Can you improve sound quality in premium it looks like the same the normal high settings,Can you improve sound quality in premium it looks like the same the normal high settings,9.0.16,,,,1,0,in
415e5dcb-a0ce-503a-a1ec-430271f6e8e5,Appstore,RecordTypeReview,2025-02-04T17:45:16Z,eng,"Just be a it better if there wasn’t so many constant interruptions with adverts most of the time. But love the free app overall,","Just be a it better if there wasn’t so many constant interruptions with adverts most of the time. But love the free app overall,",9.0.16,,,,3,0,gb
7f48e65f-a2cc-52ec-a9d2-d2c309f60fc4,Appstore,RecordTypeReview,2025-02-04T17:41:26Z,eng,"Update Feb 03, 2025
It feels slower and less responsive all the time. Opening the context menu for a song specifically is slow, almost always displaying a loading spinner for several seconds.
Update Nov 01, 2024 - The app has been SO SLOW lately. Where's the increased subscription money going if not for making your service work?
Update June 10, 2024: I'm really getting tired of the ever-present bugs. I went on a camping trip out where there is absolutely no cell service and had download a significant amount of music to listen offline. My phone was in airplane mode and Spotify in offline mode the entire time. I listened to albums the first two days, but on the third day, Spotify started giving me the error ""Spotify is offline. Go online to listen."" (Or something like that), every time I tried to listen to a downloaded album. I really, really don't care about all these new superficial features that keep getting added. If Spotify keeps raising the cost and doesn't keep the core stable, I'm leaving for Apple Music or Tidal. Update April 03, 2024: The latest issue with Spotify that's been going on for months now is really disruptive. Whatever they've done has introduced a chronic lag between when an action is taken (playback controls, selecting a song, etc) and when the action executes. It's 4-5 seconds. It's especially bad when the app transitions from background to foreground, but it is not confined to that scenario. This is the least consistent service I've ever paid for, and I've had internet service from both Comcast and CenturyLink. Original review: Spotify as a service is second to none. The music exploration and discovery that it enables is where it's always shined. The app is garbage. As long as I've been a subscriber- over 6 years- the app has been consistently broken in one or more ways. And there's no portal to customer service or feedback through the app. They just don't care. New features clearly take precedence over the stability of existing functionality.","Update Feb 03, 2025
It feels slower and less responsive all the time. Opening the context menu for a song specifically is slow, almost always displaying a loading spinner for several seconds.
Update Nov 01, 2024 - The app has been SO SLOW lately. Where's the increased subscription money going if not for making your service work?
Update June 10, 2024: I'm really getting tired of the ever-present bugs. I went on a camping trip out where there is absolutely no cell service and had download a significant amount of music to listen offline. My phone was in airplane mode and Spotify in offline mode the entire time. I listened to albums the first two days, but on the third day, Spotify started giving me the error ""Spotify is offline. Go online to listen."" (Or something like that), every time I tried to listen to a downloaded album. I really, really don't care about all these new superficial features that keep getting added. If Spotify keeps raising the cost and doesn't keep the core stable, I'm leaving for Apple Music or Tidal. Update April 03, 2024: The latest issue with Spotify that's been going on for months now is really disruptive. Whatever they've done has introduced a chronic lag between when an action is taken (playback controls, selecting a song, etc) and when the action executes. It's 4-5 seconds. It's especially bad when the app transitions from background to foreground, but it is not confined to that scenario. This is the least consistent service I've ever paid for, and I've had internet service from both Comcast and CenturyLink. Original review: Spotify as a service is second to none. The music exploration and discovery that it enables is where it's always shined. The app is garbage. As long as I've been a subscriber- over 6 years- the app has been consistently broken in one or more ways. And there's no portal to customer service or feedback through the app. They just don't care. New features clearly take precedence over the stability of existing functionality.",9.0.16,,,,3,0,us
23e574be-4a1b-59ac-b956-ebd0f4cdf05c,Appstore,RecordTypeReview,2025-02-04T17:39:56Z,eng,YOU DARE SUPPORT THE ICE YOU BLOODY SWINE ‼️🗣️👹,YOU DARE SUPPORT THE ICE YOU BLOODY SWINE ‼️🗣️👹,9.0.16,,,,1,0,us
4fa1e947-831b-5d31-b025-3d739c5c71ee,Appstore,RecordTypeReview,2025-02-04T17:39:55Z,deu,No HiRes or CD quality,Kein HiRes oder CD Qualität,9.0.16,,,,2,0,de
e1939ec0-119b-5bae-9225-269acd45eb84,Appstore,RecordTypeReview,2025-02-04T17:38:59Z,eng,Best songs,Best songs,9.0.16,,,,5,0,gb
ed4aac57-7270-5b8b-9146-b73da2ba6d8e,Appstore,RecordTypeReview,2025-02-04T17:35:53Z,spa,"The ads don't bother me since I'm on the free version, but at least in LATAM they should remove the ads in Spanish from Spain; they are super annoying and even worse because the ads get repeated.",No me molesta los anuncios ya que estoy en la version sin paga pero por lo menos a LATAM deberian de quitar los anuncios en español España es súper irritante y peor porque se repiten los anuncios,9.0.16,,,,1,0,mx
c32ffb9b-e486-5fbd-87e6-2f044d850dd9,Appstore,RecordTypeReview,2025-02-04T17:33:54Z,eng,spotify cured my depression,spotify cured my depression,9.0.16,,,,5,0,us
6ddefe96-7e57-5f4f-93db-58cddc3ddfa4,Appstore,RecordTypeReview,2025-02-04T17:32:25Z,ces,"There are really great songs there. It's a pity that my mom doesn't want to pay for premium. Otherwise, despite that, it's really great.",Jsou tam fakt hodně dobrý písničky Škoda že mi mamka nechce zaplatit prémium .jinak i přes to je to fakt super,9.0.16,,,,5,0,cz
838e7783-9de9-5bd1-b869-dc0126fc9908,Appstore,RecordTypeReview,2025-02-04T17:31:27Z,eng,"Please include more classics like little mix in the playlists you create for me
I LOVE SPOTIFY","Please include more classics like little mix in the playlists you create for me
I LOVE SPOTIFY",9.0.16,,,,5,0,gb
ee6713c5-cedb-528d-bf66-fa7639373c4d,Appstore,RecordTypeReview,2025-02-04T17:31:15Z,spa,"Too many ads that are very long, I'm thinking of canceling!",Muchos anuncios y muy largos estoy pensando cancelar!,9.0.16,,,,1,0,us
7cc6aecb-5bbe-5074-9fc1-af3b416160c3,Appstore,RecordTypeReview,2025-02-04T17:25:46Z,nld,I think it is a nice app because I love music a lot and I am musical.,"Ik vind het een leuke app, omdat ik heel veel van muziek hou en ik ben muzikaal",9.0.16,,,,5,0,nl
b35bd5c2-1409-5ed9-bbc1-c249402159eb,Appstore,RecordTypeReview,2025-02-04T17:17:53Z,eng,"Update again: stop with the AI. 
Update: Spotify user since… 2015? STOP PUSHING PODCASTS, I DON’T CARE. Also leave the “recently played” bar on the home page, I want to remember if I’ve been listening to something I haven’t “saved” (because apparently we can’t “like” songs anymore which is also dumb, bring my heart button back). Spotify, I love you, but this is a 2-way relationship here. 
(Older review) I love Spotify and have used the app religiously for over 5 years. So, feedback time: the new update has two problems. First, the music keeps randomly stopping in the middle of songs. This happens exclusively on my phone, headphones or no headphones. The app and my phone are all up to date, yet every so often the song stops and the when I go back to hit play again it continues like nothing happened. Second, the new format for the way the now playing songs at the bottom of the app is terrible. It looks almost *exactly* the same as songs in a regular playlist/album in terms of background color (black), album image size, and font size. This is not a great feature for a normally abled sighted person, but I imagine there are some accessibility issues here. Another feature that is absolutely killing me recently is the “featured podcasts” that line the top of my recommended music section. Come on Spotify, how much are they paying you????? If I wanted to listen to podcasts, I *have* an app for that. The only nice feature you have that Apple doesn’t is the sleep timer. 
Finally, personal comment, but the reviews of people upset because there are ads in the “free” music streaming app are hilarious. Just pay for it and literally ALL of your problems will go away (unlimited skips, only songs you put in your playlist will play, also no ads……) Seriously if you think about it’s cheaper than the price of actually buying 1 new album per month and you get unlimited access to basically all the music you could possibly want. Just saying.","Update again: stop with the AI. 
Update: Spotify user since… 2015? STOP PUSHING PODCASTS, I DON’T CARE. Also leave the “recently played” bar on the home page, I want to remember if I’ve been listening to something I haven’t “saved” (because apparently we can’t “like” songs anymore which is also dumb, bring my heart button back). Spotify, I love you, but this is a 2-way relationship here. 
(Older review) I love Spotify and have used the app religiously for over 5 years. So, feedback time: the new update has two problems. First, the music keeps randomly stopping in the middle of songs. This happens exclusively on my phone, headphones or no headphones. The app and my phone are all up to date, yet every so often the song stops and the when I go back to hit play again it continues like nothing happened. Second, the new format for the way the now playing songs at the bottom of the app is terrible. It looks almost *exactly* the same as songs in a regular playlist/album in terms of background color (black), album image size, and font size. This is not a great feature for a normally abled sighted person, but I imagine there are some accessibility issues here. Another feature that is absolutely killing me recently is the “featured podcasts” that line the top of my recommended music section. Come on Spotify, how much are they paying you????? If I wanted to listen to podcasts, I *have* an app for that. The only nice feature you have that Apple doesn’t is the sleep timer. 
Finally, personal comment, but the reviews of people upset because there are ads in the “free” music streaming app are hilarious. Just pay for it and literally ALL of your problems will go away (unlimited skips, only songs you put in your playlist will play, also no ads……) Seriously if you think about it’s cheaper than the price of actually buying 1 new album per month and you get unlimited access to basically all the music you could possibly want. Just saying.",9.0.16,,,,1,0,us
4d100bff-5c80-5bd4-954c-1fe8cac55dbd,Appstore,RecordTypeReview,2025-02-04T17:15:58Z,tur,"Very good, thank you",Çok iyi teşekkürler,9.0.16,,,,5,0,tr
d57aaaad-514a-571f-b44e-48d797522877,Appstore,RecordTypeReview,2025-02-04T17:13:48Z,eng,It is the best,It is the best,9.0.16,,,,5,0,us
2e083939-985f-5f84-9d0d-8e84935c3230,Appstore,RecordTypeReview,2025-02-04T17:13:21Z,spa,"Could you make it premium, for life, at no cost?","Podrían hacerla premium, de por vida, sin un precio",9.0.16,,,,5,0,ar
853350b0-85a0-55ab-ba5b-d9a9a79109e8,Appstore,RecordTypeReview,2025-02-04T17:06:19Z,tur,The list of Kalinan cannot be accessed in bulk practically.,Calinan liste pratik olarak toplu ulasilamiyor,9.0.16,,,,3,0,tr
60aedf82-59d3-5486-806c-860d45a335dd,Appstore,RecordTypeReview,2025-02-04T17:03:46Z,nor,I would strongly recommend,Vill anbefale sterkt,9.0.16,,,,5,0,no
5310180f-bb25-5c92-bf56-6ac4da0d458d,Appstore,RecordTypeReview,2025-02-04T16:56:10Z,eng,It’s great…,It’s great…,9.0.16,,,,4,0,gb
39e9bbb2-896b-53b9-bce0-fd43bd35bdc7,Appstore,RecordTypeReview,2025-02-04T16:53:57Z,por,"The app is very good, it has nothing bad 🎶😎",O app é muito bom ele não tem nada de ruim 🎶😎,9.0.16,,,,5,0,br
de2f69df-3a3a-5f87-a117-1ac8fe8c0a71,Appstore,RecordTypeReview,2025-02-04T16:53:26Z,swe,"I love your app, it has everything one could ask for musically, but a small thing I have noticed is that there is an ""explicit tag"" above Frank Zappa's ""Bobby Brown Goes Down"". This is something that wouldn't have suited Zappa himself due to his artistic vision and opinion regarding censorship in music. However, it's just a minor issue, and your app is very good overall!","Älskar eran app den har allt man kan be om musikaliskt, men en liten sak jag har märkt är att det finns:”explicitmarkör” ovanför Frank Zappas:”Bobby Brown Goes Down”. Detta är något som ej hade suttit rätt med Zappa själv i o med hans artistiska vision och åsikt gällande censur i musik. Det är dock bara en smärre sak och eran app är väldigt bra överlag!",9.0.16,,,,5,0,se
f1021961-0160-59aa-866a-88a933316c3c,Appstore,RecordTypeReview,2025-02-04T16:48:28Z,eng,It’s a really great platform that allows me to find lots of amazing music and new artists! It’s great for finding similar new artists to what your listing to or great for finding something completely different and out there! Only thing is the price is a bit steep for the average user so if that was dropped a bit that would be really amazing! £5 a month would be lovely but that’s if your feeling nice. Would be great and I’m sure your get a lot more new users. £5 is basically a pint so I’m sure people wouldn’t mind that so much 🫶🏼 much love to the crew of Spotify,It’s a really great platform that allows me to find lots of amazing music and new artists! It’s great for finding similar new artists to what your listing to or great for finding something completely different and out there! Only thing is the price is a bit steep for the average user so if that was dropped a bit that would be really amazing! £5 a month would be lovely but that’s if your feeling nice. Would be great and I’m sure your get a lot more new users. £5 is basically a pint so I’m sure people wouldn’t mind that so much 🫶🏼 much love to the crew of Spotify,9.0.16,,,,5,0,gb
d1015e90-759f-5feb-8655-6f506903952a,Appstore,RecordTypeReview,2025-02-04T16:48:07Z,spa,"Thank you very much, you have made me listen to pure music, thanks to this I have found the meaning of life, my ears have been blessed, God bless you and your family Spotify.","Muchas gracias, me han hecho que escuchara música pura, gracias a esto he encontrado el sentido a la vida, mis oídos han sido bendecidos, dios los bendiga a ti y a tu familia Spotify",9.0.16,,,,5,0,mx
f91471c8-894e-560a-aa12-6edfafdd5c13,Appstore,RecordTypeReview,2025-02-04T16:46:22Z,ita,"But since I updated, the command in the top right gets stuck and the application closes!","Ma da quando ho fatto l’aggiornamento, si impalla il comando in alto a destra e si chiude l’applicazione!",9.0.16,,,,5,0,it
1b574c26-8124-57c7-8bd7-57c694b53e6e,Appstore,RecordTypeReview,2025-02-04T16:45:25Z,eng,"I’m trying to switch from Amazon Music to Spotify, but almost everything on it is the premium service and I’m not wanting to spend a lot on another streaming app especially if I haven’t really got to try it out without every action I do, it pops up saying upgrade the premium, so that makes me not want to even try to use this app.","I’m trying to switch from Amazon Music to Spotify, but almost everything on it is the premium service and I’m not wanting to spend a lot on another streaming app especially if I haven’t really got to try it out without every action I do, it pops up saying upgrade the premium, so that makes me not want to even try to use this app.",9.0.16,,,,2,0,us
eb2d7f20-0edd-543f-ab9d-a0daf77f90f1,Appstore,RecordTypeReview,2025-02-04T16:37:43Z,eng,4 stars because the internet won’t let you onto your own account. But I like how you can downloads stuff and they have so many songs and podcasts. I like the playlists that Spotify makes for you. I definitely recommend the app and hope you send the link to all your friends!😁,4 stars because the internet won’t let you onto your own account. But I like how you can downloads stuff and they have so many songs and podcasts. I like the playlists that Spotify makes for you. I definitely recommend the app and hope you send the link to all your friends!😁,9.0.16,,,,4,0,us
c43148c0-2ff0-54c3-bd4d-699cdc7fc7ab,Appstore,RecordTypeReview,2025-02-04T16:35:48Z,eng,Okay almost every time I switch a song there’s a add I recommend getting the app music it’s way better then this just to much adds and just not good,Okay almost every time I switch a song there’s a add I recommend getting the app music it’s way better then this just to much adds and just not good,9.0.16,,,,1,0,us
4ef5e335-061b-5be3-ad95-33d65e9aaedb,Appstore,RecordTypeReview,2025-02-04T16:35:35Z,por,It's an app that has excellent quality!!,É um app que tem uma qualidade excelente!!,9.0.16,,,,5,0,br
